38459.city,MIRAMAR BEACH,ST FRANCIS
38422.measurename,Heart Attack Patients Given Aspirin at Arrival,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
41789.hospitaltype,Acute Care - VA Medical Center,Critical Access Hospitals
33283.stateavg,KS_SCIP-VTE-1,IN_AMI-1
39362.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Aspirin at Arrival
24994.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
37292.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
5511.stateavg,CA_HF-2,AR_AMI-2
10103.city,CLINTON,JOSHUA TREE
28919.city,YUMA,DECATUR
19410.condition,Pneumonia,Heart Attack
32370.city,MARION,LOGANSPORT
35202.address1,1555 SOQUEL DRIVE,210 FOURTH AVENUE
20733.condition,Surgical Infection Prevention,Heart Attack
12463.stateavg,MA_SCIP-INF-6,CA_HF-3
43051.condition,Heart Failure,Heart Attack
13137.condition,Heart Failure,Heart Attack
6918.city,WOODLAND HILLS,LOS ANGELES
36236.address1,1518 MULBERRY AVENUE,800 S FILLMORE ST
44110.stateavg,AL_HF-2,LA_SCIP-CARD-2
2910.address1,3333 SPRINGHILL DRIVE,5102 WEST CAMPBELL AVENUE
38295.city,LEAVENWORTH,WICHITA
33152.address1,1555 N BARRINGTON RD,401 SAWYER RD
4833.stateavg,ID_AMI-8A,AZ_HF-1
15032.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Heart Attack Patients Given Smoking Cessation Advice/Counseling
33870.city,BALDWIN PARK,MONTICELLO
45007.address1,2500 HIGHWAY 65 SOUTH,200 WEST 134TH PLACE
20859.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
26113.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Heart Attack Patients Given Aspirin at Discharge
9142.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
21613.address1,1421 OAKDALE ROAD,1210 S OLD DIXIE HIGHWAY
32103.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
46492.address1,5666 EAST STATE STREET,2001 MEDICAL PARKWAY
35299.stateavg,MA_SCIP-INF-2,IA_AMI-4
42266.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
3099.city,LACOMBE,SHERWOOD
16502.city,WILMINGTON,DEL NORTE
27569.address1,13100 FT KING ROAD,9600 GROSS POINT ROAD
32142.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
45343.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
26083.measurename,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,Heart Attack Patients Given Aspirin at Arrival
20930.city,NOBLESVILLE,FORT LAUDERDALE
9351.city,BALTIMORE,LANCASTER
6220.condition,Surgical Infection Prevention,Heart Attack
9286.stateavg,DC_CAC-2,CA_PN-2
13161.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,Heart Attack Patients Given Beta Blocker at Discharge
7929.stateavg,AR_PN-2,CA_HF-1
48954.measurename,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
12634.city,LAFAYETTE,RANCHO MIRAGE
29140.measurename,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Heart Attack Patients Given Beta Blocker at Discharge
32523.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
21812.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
3609.address1,100 DOCTOR WARREN TUTTLE DR,1400 SOUTH  DOBSON ROAD
37042.address1,2190 HIGHWAY 85 NORTH,3500 SOUTH 4TH STREET
10241.stateavg,CA_AMI-7A,CA_PN-4
43843.condition,Heart Failure,Heart Attack
34941.measurename,Heart Failure Patients Given Discharge Instructions,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
5738.city,ENGLEWOOD,MURFREESBORO
40996.condition,Pneumonia,Surgical Infection Prevention
48444.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
44947.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
6198.address1,275 W 12TH ST,310 SOUTH FALLS BOULEVARD
22380.hospitaltype,Acute Care Hospitals,Acute Care - VA Medical Center
42983.stateavg,ID_PN-5C,LA_SCIP-INF-1
15936.condition,Surgical Infection Prevention,Heart Attack
25750.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
18907.stateavg,LA_HF-3,FL_PN-5C
47440.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38532.stateavg,LA_SCIP-INF-4,KS_HF-1
46467.condition,Heart Attack,Pneumonia
11276.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
4979.condition,Pneumonia,Heart Attack
16891.condition,Pneumonia,Surgical Infection Prevention
45395.city,VENICE,AUGUSTA
33300.address1,3873 NORTH PARKVIEW DRIVE,1111 N RONALD REAGAN PKWY
43983.measurename,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
22143.stateavg,CA_SCIP-INF-6,FL_PN-6
26379.stateavg,IA_HF-1,ID_SCIP-CARD-2
13952.address1,295 VARNUM AVENUE,525 N GARFIELD AVE
8290.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
5935.city,LITTLE ROCK,JONESBORO
18725.measurename,Heart Attack Patients Given Aspirin at Discharge,Pneumonia Patients Given Smoking Cessation Advice/Counseling
22389.measurename,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),Pneumonia Patients Assessed and Given Pneumococcal Vaccination
29749.stateavg,AR_SCIP-VTE-2,IL_PN-4
41570.address1,1025 NEW MOODY LANE,2323 CONCRETE ROAD
21699.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Attack Patients Given Beta Blocker at Discharge
25645.city,DOWNEY,FORSYTH
26533.address1,208 PIERSON AVE,520 NORTH THIRD AVENUE
22727.address1,240 HOSPITAL ROAD,1230 BAXTER STREET
20453.city,CHICAGO,MIAMI
13071.measurename,Heart Attack Patients Given Beta Blocker at Discharge,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
901.stateavg,IA_HF-1,AL_SCIP-VTE-1
31211.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
20376.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
31060.city,SAINT PETERSBURG,SANDWICH
26939.measurename,Heart Attack Patients Given Aspirin at Discharge,Heart Failure Patients Given Smoking Cessation Advice/Counseling
9145.condition,Heart Attack,Surgical Infection Prevention
26211.address1,2200 N SECTION ST,888 SO KING STREET
14418.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8822.address1,101 CRESTVIEW AVENUE,23625 W R HOLMAN HIGHWAY
8260.condition,Heart Failure,Heart Attack
17483.condition,Surgical Infection Prevention,Heart Failure
19140.address1,2401 UNIVERSITY AVE,651 E 25TH ST
38818.city,SAN JOSE,KIOWA
11317.condition,Heart Attack,Pneumonia
11682.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
4747.city,WOODLAND HILLS,GANADO
14195.stateavg,MI_SCIP-VTE-2,FL_HF-1
36645.stateavg,CA_PN-5C,IA_PN-4
20295.address1,1120 N MELVIN STREET,1300 MICCOSUKEE RD
42737.city,MELROSE PARK,CAMERON
49752.address1,404 JEFFERSON STREET,1221 SOUTH DRIVE
48411.city,COLUMBUS,BOSTON
14845.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
5624.address1,2202 FALSE RIVER DRIVE,1703 NORTH BUERKLE ROAD
31835.condition,Heart Attack,Surgical Infection Prevention
35780.condition,Surgical Infection Prevention,Heart Attack
6837.city,SANDERSVILLE,JACKSON
38395.stateavg,MA_HF-2,KS_SCIP-INF-3
26674.address1,3828 DELMAS TERRACE,8800 WEST EMERALD STREET
24023.stateavg,GA_PN-2,GA_SCIP-INF-2
39325.city,NAPLES,ONAGA
37722.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
49178.measurename,Pneumonia Patients Assessed and Given Influenza Vaccination,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
46831.city,PARKER,GLEN BURNIE
49235.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
8720.address1,240 SPRUCE STREET,13652 CANTARA ST
38190.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47581.city,GREENFIELD,BRIGHTON
28589.city,FT WAYNE,DECATUR
27047.city,MANTECA,QUINCY
34752.address1,550 PEACHTREE ST NE,601 HIGHWAY 6 WEST
33364.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),Heart Attack Patients Given Smoking Cessation Advice/Counseling
9156.measurename,Heart Attack Patients Given Aspirin at Arrival,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
1720.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Heart Attack Patients Given Aspirin at Arrival
4732.condition,Pneumonia,Heart Attack
5021.measurename,Heart Attack Patients Given Aspirin at Arrival,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
31683.stateavg,IA_SCIP-INF-1,IN_SCIP-CARD-2
1122.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
2769.city,MUSKEGON,SITKA
21022.address1,BROADWAY AT 11TH STREET,13100 FT KING ROAD
3346.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
7581.measurename,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,Heart Failure Patients Given Smoking Cessation Advice/Counseling
14459.stateavg,AZ_SCIP-INF-2,CA_PN-4
18832.measurename,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
5998.address1,3800 JANES RD,300 PROSPECT AVE
20944.stateavg,IL_AMI-4,FL_PN-4
24175.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
40260.address1,11815 EDUCATION STREET,320 LORETTO ROAD
21763.city,RANDALLSTOWN,BROOKSVILLE
43592.stateavg,CA_PN-6,LA_AMI-5
40424.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
45515.address1,3024 STADIUM BOULEVARD,6 GLEN COVE DRIVE
16049.condition,Heart Failure,Pneumonia
27928.city,ALPENA,CHICAGO
30212.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Pneumonia Patients Given Smoking Cessation Advice/Counseling
43820.stateavg,MD_SCIP-INF-3,LA_AMI-3
14295.measurename,Heart Attack Patients Given Aspirin at Discharge,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
25458.city,TUCSON,MONTICELLO
47984.city,EVANSTON,FALL RIVER
38758.measurename,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
34990.address1,3630 EAST IMPERIAL HIGHWAY,1001 E PENNSYLVANIA
38981.stateavg,CA_SCIP-VTE-2,KS_AMI-8A
20823.city,ATLANTA,CORAL GABLES
22447.stateavg,CT_PN-7,FL_SCIP-INF-2
31475.measurename,Heart Attack Patients Given Aspirin at Arrival,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
29301.condition,Heart Attack,Pneumonia
19566.city,GILBERT,LEESBURG
40628.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
47126.city,WESTMINSTER,BERLIN
17990.measurename,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
18107.measurename,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
23070.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
22017.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
38240.condition,Heart Attack,Surgical Infection Prevention
25888.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
39984.city,CHIPLEY,PRESTONSBURG
26188.city,BLAIRSVILLE,HONOLULU
34586.city,SYLMAR,AMES
6681.condition,Heart Attack,Heart Failure
46705.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
25591.condition,Pneumonia,Heart Failure
20792.city,DOWNEY,SOUTH MIAMI
24103.condition,Heart Failure,Surgical Infection Prevention
16930.city,SHREVEPORT,WOODLAND PARK
7848.measurename,surgery patients who were given the  right kind  of antibiotic to help prevent infection,Heart Attack Patients Given Aspirin at Discharge
37862.city,CAMDEN,COFFEYVILLE
21688.condition,Pneumonia,Surgical Infection Prevention
3877.stateavg,MI_SCIP-VTE-2,AZ_PN-2
10459.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
26683.hospitaltype,Acute Care - VA Medical Center,Acute Care Hospitals
29607.stateavg,AL_PN-2,IL_SCIP-INF-4
709.condition,Heart Attack,Surgical Infection Prevention
34496.address1,1601 KIRKWOOD HIGHWAY,700 EAST UNIVERSITY AVENUE
26416.measurename,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,Heart Attack Patients Given Aspirin at Discharge
43066.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
49329.stateavg,HI_SCIP-VTE-1,MI_SCIP-INF-2
29657.hospitaltype,Critical Access Hospitals,Acute Care Hospitals
3300.address1,1099 CITRUS TOWER BLVD,2601 EAST ROOSEVELT STREET
41289.city,CLARINDA,BOWLING GREEN
30358.condition,Pneumonia,Heart Failure
1880.condition,Heart Failure,Heart Attack
8475.city,WATERBURY,GLENDALE
33788.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
5845.address1,11 HOSPITAL DRIVE,2001 SOUTH MAIN STREET
23186.measurename,Heart Attack Patients Given Smoking Cessation Advice/Counseling,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
15445.stateavg,IL_AMI-8A,CO_AMI-2
40952.measurename,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Heart Attack Patients Given Aspirin at Arrival
35153.address1,2525 S MICHIGAN AVE,2301 HIGHWAY 71
14812.hospitaltype,Acute Care Hospitals,Critical Access Hospitals
32182.address1,2000 PEPPERELL PARKWAY,1701 N SENATE BLVD
33778.city,CAMDEN,ELWOOD
6089.city,MERCED,NO LITTLE ROCK
32136.stateavg,AZ_SCIP-VTE-1,IN_SCIP-CARD-2
21145.stateavg,IA_HF-1,FL_AMI-4
40616.address1,3333 W DE YOUNG,320 WEST 18TH STREET
11057.city,MADISONVILLE,SAN ANDREAS
8943.measurename,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
